,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
203,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94779968261719,-77.09941864013672,312.0,9.753600120544434,46.0,1.0,1771257581,8396,4603,4603,7
204,5509,3131100,11:15:00,20260216,0.0,D40,0.0,38.89228820800781,-77.02388763427734,,0.0,2.0,1.0,1771257585,21789,5509,5509,7
205,5500,17298100,11:00:00,20260216,0.0,D40,0.0,38.893341064453125,-77.02232360839844,,0.0,3.0,2.0,1771257584,5366,5500,5500,2
208,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.975860595703125,-77.02667236328125,179.0,7.315199851989746,13.0,1.0,1771257589,9532,5513,5513,7
215,7146,20942100,11:00:00,20260216,0.0,D96,1.0,38.984588623046875,-77.09590148925781,,0.0,2.0,1.0,1771257581,28523,7146,7146,7
216,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.92940139770508,-77.07868957519531,272.0,4.572000026702881,38.0,1.0,1771257594,7551,4582,4582,7
218,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.9105110168457,-77.00833892822266,118.0,9.448800086975098,22.0,2.0,1771257591,19028,5463,5463,1
219,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.91701126098633,-77.0252685546875,269.0,12.192000389099121,53.0,1.0,1771257596,6890,5464,5464,1
220,5466,25836100,11:00:00,20260216,0.0,C53,0.0,38.845279693603516,-76.98761749267578,,0.0,2.0,1.0,1771257598,13111,5466,5466,7
221,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.91699981689453,-77.03276062011719,91.0,4.572000026702881,11.0,2.0,1771257596,6884,5470,5470,1
227,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.941219329833984,-77.02536010742188,350.0,9.448800086975098,29.0,1.0,1771257596,8125,7223,7223,2
230,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94874954223633,-77.1005630493164,350.0,6.0960001945495605,48.0,1.0,1771257598,8439,4603,4603,7
233,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.9404182434082,-77.02513885498047,168.0,9.448800086975098,30.0,1.0,1771257595,8063,5501,5501,2
236,5516,5358100,10:00:00,20260216,0.0,C53,1.0,38.850650787353516,-76.9754867553711,,0.0,61.0,1.0,1771257594,2787,5516,5516,7
237,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257597,18907,5525,5525,7
238,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.97578811645508,-77.02667999267578,358.0,7.924799919128418,46.0,1.0,1771257590,9524,5533,5533,7
239,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.866458892822266,-76.98345184326172,,0.0,48.0,1.0,1771257596,3720,5537,5537,7
243,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.93014144897461,-77.0801773071289,292.0,11.887200355529785,39.0,1.0,1771257609,7573,4582,4582,7
244,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257610,7219,5461,5461,7
245,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.91004180908203,-77.00727081298828,118.0,7.619999885559082,22.0,1.0,1771257603,19028,5463,5463,1
250,5475,14639100,11:12:00,20260216,0.0,C53,0.0,38.84621047973633,-76.98796844482422,,0.0,2.0,1.0,1771257605,13111,5475,5475,1
251,5481,1115100,10:12:00,20260216,0.0,C53,0.0,38.90671157836914,-76.99939727783203,298.0,8.229599952697754,42.0,1.0,1771257608,6299,5481,5481,1
253,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.909690856933594,-77.02191925048828,355.0,7.924799919128418,12.0,1.0,1771257603,6458,7220,7220,1
255,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.888431549072266,-76.9949722290039,180.0,4.572000026702881,36.0,2.0,1771257601,4889,2838,2838,1
256,2836,20534100,11:00:00,20260216,0.0,C53,1.0,38.924339294433594,-77.05252075195312,,0.0,2.0,1.0,1771257604,7272,2836,2836,7
257,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94926834106445,-77.10041046142578,28.0,5.791200160980225,48.0,1.0,1771257607,8439,4603,4603,7
260,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.9399299621582,-77.02501678466797,168.0,11.277600288391113,30.0,1.0,1771257601,8063,5501,5501,2
261,5505,6934100,11:15:00,20260216,0.0,D40,1.0,38.99338150024414,-77.02945709228516,,0.0,2.0,1.0,1771257609,18907,5505,5505,7
265,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.977439880371094,-77.0264892578125,2.0,9.448800086975098,47.0,1.0,1771257608,9565,5533,5533,7
267,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.850921630859375,-76.97444915771484,,0.0,9.0,1.0,1771257605,2793,5538,5538,7
268,5539,13300100,10:36:00,20260216,0.0,C53,0.0,38.86650848388672,-76.983642578125,,1.2192000150680542,22.0,2.0,1771257601,17417,5539,5539,7
276,5473,22340100,11:24:00,20260216,0.0,C53,1.0,38.92327880859375,-77.04779052734375,94.0,6.705599784851074,2.0,1.0,1771257618,7272,5473,5473,1
279,5479,842100,10:24:00,20260216,0.0,C53,0.0,38.88235855102539,-76.99500274658203,,0.0,30.0,2.0,1771257612,4607,5479,5479,1
284,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94976043701172,-77.099853515625,47.0,9.144000053405762,49.0,2.0,1771257617,8504,4603,4603,7
285,5509,3131100,11:15:00,20260216,0.0,D40,0.0,38.89228820800781,-77.02388763427734,,0.0,2.0,1.0,1771257615,21789,5509,5509,7
286,5500,17298100,11:00:00,20260216,0.0,D40,0.0,38.893341064453125,-77.02232360839844,,0.0,3.0,2.0,1771257614,5366,5500,5500,2
289,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.973941802978516,-77.02686309814453,,0.30480000376701355,14.0,2.0,1771257619,9446,5513,5513,7
292,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.977989196777344,-77.02644348144531,1.0,11.277600288391113,47.0,1.0,1771257614,9565,5533,5533,7
293,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.866451263427734,-76.98329162597656,100.0,6.0960001945495605,48.0,1.0,1771257614,3720,5537,5537,7
296,7146,20942100,11:00:00,20260216,0.0,D96,1.0,38.984588623046875,-77.09590148925781,,0.0,2.0,1.0,1771257611,28523,7146,7146,7
